["port 1","LEFT"]
["port 2","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission",-7.05924e-13)
(502, 3)
1.9156067603833869e+14 5.7789677710858522e-04 -1.1594614836191670e+00
1.9156945781583006e+14 5.7691497170346746e-04 -1.1198091886193273e+00
1.9157823959332144e+14 5.7592073133198494e-04 -1.0801524640272984e+00
1.9158702137081281e+14 5.7491405349053583e-04 -1.0404914048557357e+00
1.9159580314830419e+14 5.7389493615728128e-04 -1.0008261062981156e+00
1.9160458492579556e+14 5.7286337778379443e-04 -9.6115666373928721e-01
1.9161336670328694e+14 5.7181937730243517e-04 -9.2148317278792546e-01
1.9162214848077834e+14 5.7076293411073890e-04 -8.8180572926784218e-01
1.9163093025826972e+14 5.6969404807975191e-04 -8.4212442926239861e-01
1.9163971203576109e+14 5.6861271955081967e-04 -8.0243936911986880e-01
1.9164849381325247e+14 5.6751894932946815e-04 -7.6275064547532911e-01
1.9165727559074384e+14 5.6641273868370413e-04 -7.2305835526681128e-01
1.9166605736823522e+14 5.6529408934339687e-04 -6.8336259575563485e-01
1.9167483914572659e+14 5.6416300350003675e-04 -6.4366346455159074e-01
1.9168362092321797e+14 5.6301948380060504e-04 -6.0396105962341839e-01
1.9169240270070934e+14 5.6186353334883418e-04 -5.6425547932757991e-01
1.9170118447820072e+14 5.6069515570170440e-04 -5.2454682242665640e-01
1.9170996625569209e+14 5.5951435486724615e-04 -4.8483518810797566e-01
1.9171874803318347e+14 5.5832113530526002e-04 -4.4512067601080352e-01
1.9172752981067484e+14 5.5711550192309191e-04 -4.0540338623956534e-01
1.9173631158816622e+14 5.5589746007277910e-04 -3.6568341940227245e-01
1.9174509336565762e+14 5.5466701555339983e-04 -3.2596087661462941e-01
1.9175387514314900e+14 5.5342417460664713e-04 -2.8623585953743208e-01
1.9176265692064038e+14 5.5216894391436693e-04 -2.4650847039500898e-01
1.9177143869813175e+14 5.5090133059890591e-04 -2.0677881200398590e-01
1.9178022047562312e+14 5.4962134222226911e-04 -1.6704698779307262e-01
1.9178900225311450e+14 5.4832898678149977e-04 -1.2731310183142602e-01
1.9179778403060588e+14 5.4702427270886820e-04 -8.7577258855966816e-02
1.9180656580809725e+14 5.4570720887287796e-04 -4.7839564297112509e-02
1.9181534758558862e+14 5.4437780457272330e-04 -8.1001243100220534e-03
1.9182412936308000e+14 5.4303606953967588e-04 3.1640954204740356e-02
1.9183291114057138e+14 5.4168201393420983e-04 7.1383563567342614e-02
1.9184169291806275e+14 5.4031564834762643e-04 1.1112759528555055e-01
1.9185047469555412e+14 5.3893698379592792e-04 1.5087294003149923e-01
1.9185925647304550e+14 5.3754603172530442e-04 1.9061948761024619e-01
1.9186803825053691e+14 5.3614280400445229e-04 2.3036712692091713e-01
1.9187682002802828e+14 5.3472731292849424e-04 2.7011574593140830e-01
1.9188560180551966e+14 5.3329957121497288e-04 3.0986523164429586e-01
1.9189438358301103e+14 5.3185959200490981e-04 3.4961547005500176e-01
1.9190316536050241e+14 5.3040738886120365e-04 3.8936634613069193e-01
1.9191194713799378e+14 5.2894297576696952e-04 4.2911774376134543e-01
1.9192072891548516e+14 5.2746636712549828e-04 4.6886954572748324e-01
1.9192951069297653e+14 5.2597757776104057e-04 5.0862163366711921e-01
1.9193829247046791e+14 5.2447662291613681e-04 5.4837388802785803e-01
1.9194707424795928e+14 5.2296351825168765e-04 5.8812618803786687e-01
1.9195585602545066e+14 5.2143827984464934e-04 6.2787841165532321e-01
1.9196463780294203e+14 5.1990092419318510e-04 6.6763043553188139e-01
1.9197341958043341e+14 5.1835146820909282e-04 7.0738213496956559e-01
1.9198220135792478e+14 5.1678992922348746e-04 7.4713338387357064e-01
1.9199098313541619e+14 5.1521632498029483e-04 7.8688405471463985e-01
1.9199976491290756e+14 5.1363067364406669e-04 8.2663401846793150e-01
1.9200854669039894e+14 5.1203299379349167e-04 8.6638314457797450e-01
1.9201732846789031e+14 5.1042330442273233e-04 9.0613130090788019e-01
1.9202611024538169e+14 5.0880162494292035e-04 9.4587835368437712e-01
1.9203489202287306e+14 5.0716797518020166e-04 9.8562416744780668e-01
1.9204367380036444e+14 5.0552237537864310e-04 1.0253686049997237e+00
1.9205245557785581e+14 5.0386484619758935e-04 1.0651115273433469e+00
1.9206123735534719e+14 5.0219540871485546e-04 1.1048527936330490e+00
1.9207001913283856e+14 5.0051408442399988e-04 1.1445922611107187e+00
1.9207880091032994e+14 4.9882089523655933e-04 1.1843297850512116e+00
1.9208758268782131e+14 4.9711586348377581e-04 1.2240652186958254e+00
1.9209636446531269e+14 4.9539901191461252e-04 1.2637984131886899e+00
1.9210514624280406e+14 4.9367036369800811e-04 1.3035292175149615e+00
1.9211392802029547e+14 4.9192994242477017e-04 1.3432574784290574e+00
1.9212270979778684e+14 4.9017777210423282e-04 1.3829830403900487e+00
1.9213149157527822e+14 4.8841387717190893e-04 1.4227057454844276e+00
1.9214027335276959e+14 4.8663828248520917e-04 1.4624254333515403e+00
1.9214905513026097e+14 4.8485101332653482e-04 1.5021419411162951e+00
1.9215783690775234e+14 4.8305209540550097e-04 1.5418551032997672e+00
1.9216661868524372e+14 4.8124155485900454e-04 1.5815647517457763e+00
1.9217540046273509e+14 4.7941941825449357e-04 1.6212707155307462e+00
1.9218418224022647e+14 4.7758571258844874e-04 1.6609728208774537e+00
1.9219296401771784e+14 4.7574046529207450e-04 1.7006708910808326e+00
1.9220174579520922e+14 4.7388370422988299e-04 1.7403647463897947e+00
1.9221052757270059e+14 4.7201545770781880e-04 1.7800542039323626e+00
1.9221930935019197e+14 4.7013575446589243e-04 1.8197390776101843e+00
1.9222809112768334e+14 4.6824462368939905e-04 1.8594191779986879e+00
1.9223687290517475e+14 4.6634209500664509e-04 1.8990943122324091e+00
1.9224565468266612e+14 4.6442819849211832e-04 1.9387642839235142e+00
1.9225443646015750e+14 4.6250296467150777e-04 1.9784288930104252e+00
1.9226321823764888e+14 4.6056642452409208e-04 2.0180879356734920e+00
1.9227200001514025e+14 4.5861860948333369e-04 2.0577412042045942e+00
1.9228078179263162e+14 4.5665955144326447e-04 2.0973884868783768e+00
1.9228956357012300e+14 4.5468928276234651e-04 2.1370295678288755e+00
1.9229834534761438e+14 4.5270783626337300e-04 2.1766642269180516e+00
1.9230712712510575e+14 4.5071524524027977e-04 2.2162922395924864e+00
1.9231590890259712e+14 4.4871154346405216e-04 2.2559133767459314e+00
1.9232469068008850e+14 4.4669676518416040e-04 2.2955274045694889e+00
1.9233347245757988e+14 4.4467094513359772e-04 2.3351340843968185e+00
1.9234225423507125e+14 4.4263411853371238e-04 2.3747331725544725e+00
1.9235103601256262e+14 4.4058632110201333e-04 2.4143244201842866e+00
1.9235981779005403e+14 4.3852758905455136e-04 2.4539075730853384e+00
1.9236859956754541e+14 4.3645795910993797e-04 2.4934823715276684e+00
1.9237738134503678e+14 4.3437746850226103e-04 2.5330485500798074e+00
1.9238616312252816e+14 4.3228615497988980e-04 2.5726058374076883e+00
1.9239494490001953e+14 4.3018405681544700e-04 2.6121539560855571e+00
1.9240372667751091e+14 4.2807121281251493e-04 2.6516926223910966e+00
1.9241250845500228e+14 4.2594766231075852e-04 2.6912215460929305e+00
1.9242129023249366e+14 4.2381344519973433e-04 2.7307404302158820e+00
1.9243007200998503e+14 4.2166860191603127e-04 2.7702489708429767e+00
1.9243885378747641e+14 4.1951317346376749e-04 2.8097468568460555e+00
1.9244763556496778e+14 4.1734720141051526e-04 2.8492337696622525e+00
1.9245641734245916e+14 4.1517072790913956e-04 2.8887093830219381e+00
1.9246519911995053e+14 4.1298379569728672e-04 2.9281733626882520e+00
1.9247398089744194e+14 4.1078644811385294e-04 2.9676253661782215e+00
1.9248276267493331e+14 4.0857872910471767e-04 3.0070650424735170e+00
1.9249154445242469e+14 4.0636068323745504e-04 3.0464920317264745e+00
1.9250032622991606e+14 4.0413235571018079e-04 3.0859059649370812e+00
1.9250910800740744e+14 4.0189379236386507e-04 3.1253064636343626e+00
1.9251788978489881e+14 3.9964503969829176e-04 3.1646931395359661e+00
1.9252667156239019e+14 3.9738614487901520e-04 3.2040655941938030e+00
1.9253545333988156e+14 3.9511715575715869e-04 3.2434234186307633e+00
1.9254423511737294e+14 3.9283812087950498e-04 3.2827661929538832e+00
1.9255301689486431e+14 3.9054908950801755e-04 3.3220934859558309e+00
1.9256179867235569e+14 3.8825011163125896e-04 3.3614048547001789e+00
1.9257058044984706e+14 3.8594123798233755e-04 3.4006998440803087e+00
1.9257936222733844e+14 3.8362252005968007e-04 3.4399779863835671e+00
1.9258814400482981e+14 3.8129401014059053e-04 3.4792388007971651e+00
1.9259692578232122e+14 3.7895576130468563e-04 3.5184817929258712e+00
1.9260570755981259e+14 3.7660782744862670e-04 3.5577064542834926e+00
1.9261448933730397e+14 3.7425026331624551e-04 3.5969122617361982e+00
1.9262327111479534e+14 3.7188312450716298e-04 3.6360986769656498e+00
1.9263205289228672e+14 3.6950646751409956e-04 3.6752651458516317e+00
1.9264083466977809e+14 3.6712034973883308e-04 3.7144110978868623e+00
1.9264961644726947e+14 3.6472482951974979e-04 3.7535359455180677e+00
1.9265839822476084e+14 3.6231996616090708e-04 3.7926390834789370e+00
1.9266718000225222e+14 3.5990581995541568e-04 3.8317198880855750e+00
1.9267596177974359e+14 3.5748245221957126e-04 3.8707777165048354e+00
1.9268474355723497e+14 3.5504992532265462e-04 3.9098119059788514e+00
1.9269352533472634e+14 3.5260830271978822e-04 3.9488217730259341e+00
1.9270230711221772e+14 3.5015764898628916e-04 3.9878066125891962e+00
1.9271108888970909e+14 3.4769802985122952e-04 4.0267656971561347e+00
1.9271987066720050e+14 3.4522951224133378e-04 4.0656982758237525e+00
1.9272865244469188e+14 3.4275216431461859e-04 4.1046035733360124e+00
1.9273743422218325e+14 3.4026605550810304e-04 4.1434807890457570e+00
1.9274621599967462e+14 3.3777125657793148e-04 4.1823290958639072e+00
