["I+","RIGHT"]
["I-","RIGHT"]
["LO","TOP"]
["Q+","LEFT"]
["Q-","LEFT"]
["Signal1","BOTTOM"]
["Signal2","BOTTOM"]
("LO","mode 1",1,"LO",1,"transmission",8.06964e-14)
(102, 3)
1.9156067603833869e+14 4.3793041011427052e-02 -2.3271327655239498e+00
1.9160493974508816e+14 4.4373361630764441e-02 -2.3235362619981985e+00
1.9164920345183762e+14 4.4903739741864165e-02 -2.3185994933008960e+00
1.9169346715858709e+14 4.5378003820028968e-02 -2.3124594006788710e+00
1.9173773086533656e+14 4.5790550130019168e-02 -2.3052525765836687e+00
1.9178199457208603e+14 4.6136351054834789e-02 -2.2971150236638649e+00
1.9182625827883550e+14 4.6410964271600900e-02 -2.2881822643344916e+00
1.9187052198558497e+14 4.6610543892571056e-02 -2.2785897299301436e+00
1.9191478569233444e+14 4.6731854327518176e-02 -2.2684733720088612e+00
1.9195904939908391e+14 4.6772287330334374e-02 -2.2579704506131493e+00
1.9200331310583334e+14 4.6729882463545057e-02 -2.2472204646965026e+00
1.9204757681258281e+14 4.6603351045160515e-02 -2.2363661981857428e+00
1.9209184051933228e+14 4.6392103527852807e-02 -2.2255548610522311e+00
1.9213610422608175e+14 4.6096280195234415e-02 -2.2149393080275850e+00
1.9218036793283122e+14 4.5716785036898772e-02 -2.2046793178056845e+00
1.9222463163958069e+14 4.5255322673164261e-02 -2.1949429120585262e+00
1.9226889534633016e+14 4.4714438228151597e-02 -2.1859076853615442e+00
1.9231315905307962e+14 4.4097560075837358e-02 -2.1777621027473137e+00
1.9235742275982909e+14 4.3409045378412121e-02 -2.1707066991373729e+00
1.9240168646657856e+14 4.2654228257469375e-02 -2.1649550818179422e+00
1.9244595017332803e+14 4.1839470225981439e-02 -2.1607345903826483e+00
1.9249021388007750e+14 4.0972212079770816e-02 -2.1582864048579493e+00
1.9253447758682697e+14 4.0061025690015468e-02 -2.1578648092084665e+00
1.9257874129357644e+14 3.9115662912051673e-02 -2.1597352131527661e+00
1.9262300500032591e+14 3.8147096964851419e-02 -2.1641704139243623e+00
1.9266726870707538e+14 3.7167548973672963e-02 -2.1714444541652025e+00
1.9271153241382484e+14 3.6190488793174214e-02 -2.1818233312466795e+00
1.9275579612057431e+14 3.5230594787913905e-02 -2.1955517897751555e+00
1.9280005982732378e+14 3.4303652325704648e-02 -2.2128355668588777e+00
1.9284432353407325e+14 3.3426366297467015e-02 -2.2338188731287199e+00
1.9288858724082269e+14 3.2616060800664419e-02 -2.2585577044496348e+00
1.9293285094757216e+14 3.1890241906987596e-02 -2.2869908631656672e+00
1.9297711465432162e+14 3.1266010403470310e-02 -2.3189122444736254e+00
1.9302137836107109e+14 3.0759333100126691e-02 -2.3539496573781005e+00
1.9306564206782056e+14 3.0384213492592564e-02 -2.3915565070821425e+00
1.9310990577457003e+14 3.0151839862500290e-02 -2.4310221736898825e+00
1.9315416948131950e+14 3.0069819932603881e-02 -2.4715042207245408e+00
1.9319843318806897e+14 3.0141621496920283e-02 -2.5120808311175478e+00
1.9324269689481844e+14 3.0366317359966744e-02 -2.5518164522569640e+00
1.9328696060156791e+14 3.0738681279925961e-02 -2.5898296762611963e+00
1.9333122430831738e+14 3.1249614287287352e-02 -2.6253516877323828e+00
1.9337548801506684e+14 3.1886820523242349e-02 -2.6577665107899082e+00
