["port 1","LEFT"]
["port2","LEFT"]
["port3","RIGHT"]
["port4","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission",3.79502e-13)
(202, 3)
1.9156067603833869e+14 8.8679455532234344e-03 -9.9988908554090650e-01
1.9158269667636984e+14 8.9089159435841048e-03 -1.0072941427997919e+00
1.9160471731440097e+14 8.9480373353685028e-03 -1.0147312969469031e+00
1.9162673795243212e+14 8.9852945360038225e-03 -1.0221918790338622e+00
1.9164875859046325e+14 9.0206745888720061e-03 -1.0296673801030252e+00
1.9167077922849441e+14 9.0541667756202666e-03 -1.0371494417436558e+00
1.9169279986652553e+14 9.0857626219756887e-03 -1.0446298471889064e+00
1.9171482050455669e+14 9.1154559067756595e-03 -1.0521005129705199e+00
1.9173684114258781e+14 9.1432426739562461e-03 -1.0595534811335909e+00
1.9175886178061897e+14 9.1691212471881854e-03 -1.0669809120276408e+00
1.9178088241865009e+14 9.1930922469027829e-03 -1.0743750776794541e+00
1.9180290305668125e+14 9.2151586094078621e-03 -1.0817283557621131e+00
1.9182492369471241e+14 9.2353256078009389e-03 -1.0890332241726093e+00
1.9184694433274353e+14 9.2536008743884044e-03 -1.0962822562299965e+00
1.9186896497077469e+14 9.2699944243069595e-03 -1.1034681165138176e+00
1.9189098560880581e+14 9.2845186800283377e-03 -1.1105835573564784e+00
1.9191300624683697e+14 9.2971884964138454e-03 -1.1176214160141078e+00
1.9193502688486809e+14 9.3080211860361549e-03 -1.1245746125314584e+00
1.9195704752289925e+14 9.3170365443525673e-03 -1.1314361483326147e+00
1.9197906816093038e+14 9.3242568744288639e-03 -1.1381991055579608e+00
1.9200108879896153e+14 9.3297070108285165e-03 -1.1448566471765858e+00
1.9202310943699266e+14 9.3334143422602114e-03 -1.1514020179072109e+00
1.9204513007502381e+14 9.3354088326109662e-03 -1.1578285459777344e+00
1.9206715071305494e+14 9.3357230399294718e-03 -1.1641296457563157e+00
1.9208917135108609e+14 9.3343921329207269e-03 -1.1702988212925312e+00
1.9211119198911725e+14 9.3314539044950899e-03 -1.1763296708008999e+00
1.9213321262714838e+14 9.3269487819030265e-03 -1.1822158921269936e+00
1.9215523326517953e+14 9.3209198329419294e-03 -1.1879512892323294e+00
1.9217725390321066e+14 9.3134127677250329e-03 -1.1935297797325164e+00
1.9219927454124181e+14 9.3044759354646844e-03 -1.1989454035285709e+00
1.9222129517927294e+14 9.2941603157137669e-03 -1.2041923325607455e+00
1.9224331581730409e+14 9.2825195034887883e-03 -1.2092648817180340e+00
1.9226533645533522e+14 9.2696096876302529e-03 -1.2141575209299662e+00
1.9228735709336638e+14 9.2554896218541797e-03 -1.2188648884616482e+00
1.9230937773139750e+14 9.2402205877853503e-03 -1.2233818054290011e+00
1.9233139836942866e+14 9.2238663493572973e-03 -1.2277032915405033e+00
1.9235341900745981e+14 9.2064930979365734e-03 -1.2318245820663827e+00
1.9237543964549094e+14 9.1881693874490428e-03 -1.2357411460198540e+00
1.9239746028352209e+14 9.1689660589089686e-03 -1.2394487055293750e+00
1.9241948092155322e+14 9.1489561536416374e-03 -1.2429432563595286e+00
1.9244150155958438e+14 9.1282148145871590e-03 -1.2462210895275394e+00
1.9246352219761550e+14 9.1068191750411000e-03 -1.2492788139405613e+00
1.9248554283564666e+14 9.0848482342357068e-03 -1.2521133799598807e+00
1.9250756347367778e+14 9.0623827192435422e-03 -1.2547221037800769e+00
1.9252958411170894e+14 9.0395049326539058e-03 -1.2571026924776043e+00
1.9255160474974006e+14 9.0162985856412046e-03 -1.2592532695748206e+00
1.9257362538777122e+14 8.9928486160389329e-03 -1.2611724009194409e+00
1.9259564602580238e+14 8.9692409911874341e-03 -1.2628591206716435e+00
1.9261766666383350e+14 8.9455624953919018e-03 -1.2643129571490399e+00
1.9263968730186466e+14 8.9219005020051978e-03 -1.2655339582609197e+00
1.9266170793989578e+14 8.8983427302189045e-03 -1.2665227162350294e+00
1.9268372857792694e+14 8.8749769868909055e-03 -1.2672803913107979e+00
1.9270574921595806e+14 8.8518908938555879e-03 -1.2678087340597333e+00
1.9272776985398922e+14 8.8291716013705491e-03 -1.2681101059623396e+00
