["port 1","LEFT"]
["port 2","RIGHT"]
["port 3","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission",5.05008e-14)
(502, 3)
1.9156067603833869e+14 4.3157431018009437e-02 -2.4263711106406283e+00
1.9156945781583006e+14 4.3139362058126407e-02 -2.4263525829798511e+00
1.9157823959332144e+14 4.3121262624948788e-02 -2.4263341240823402e+00
1.9158702137081281e+14 4.3103132842148603e-02 -2.4263157340003128e+00
1.9159580314830419e+14 4.3084972833577588e-02 -2.4262974127865933e+00
1.9160458492579556e+14 4.3066782723268089e-02 -2.4262791604946043e+00
1.9161336670328694e+14 4.3048562635432573e-02 -2.4262609771784147e+00
1.9162214848077834e+14 4.3030312694457805e-02 -2.4262428628925616e+00
1.9163093025826972e+14 4.3012033024908566e-02 -2.4262248176922681e+00
1.9163971203576109e+14 4.2993723751523112e-02 -2.4262068416332725e+00
1.9164849381325247e+14 4.2975384999211552e-02 -2.4261889347718908e+00
1.9165727559074384e+14 4.2957016893058780e-02 -2.4261710971649717e+00
1.9166605736823522e+14 4.2938619558319652e-02 -2.4261533288697970e+00
1.9167483914572659e+14 4.2920193120417213e-02 -2.4261356299443535e+00
1.9168362092321797e+14 4.2901737704942627e-02 -2.4261180004471021e+00
1.9169240270070934e+14 4.2883253437656595e-02 -2.4261004404368260e+00
1.9170118447820072e+14 4.2864740444483240e-02 -2.4260829499730345e+00
1.9170996625569209e+14 4.2846198851510274e-02 -2.4260655291155637e+00
1.9171874803318347e+14 4.2827628784991058e-02 -2.4260481779247973e+00
1.9172752981067484e+14 4.2809030371339499e-02 -2.4260308964615596e+00
1.9173631158816622e+14 4.2790403737127586e-02 -2.4260136847871459e+00
1.9174509336565762e+14 4.2771749009091461e-02 -2.4259965429632291e+00
1.9175387514314900e+14 4.2753066314121423e-02 -2.4259794710520093e+00
1.9176265692064038e+14 4.2734355779266493e-02 -2.4259624691160422e+00
1.9177143869813175e+14 4.2715617531729984e-02 -2.4259455372183134e+00
1.9178022047562312e+14 4.2696851698869193e-02 -2.4259286754221985e+00
1.9178900225311450e+14 4.2678058408194018e-02 -2.4259118837914584e+00
1.9179778403060588e+14 4.2659237787368659e-02 -2.4258951623902796e+00
1.9180656580809725e+14 4.2640389964203440e-02 -2.4258785112831340e+00
1.9181534758558862e+14 4.2621515066660884e-02 -2.4258619305349365e+00
1.9182412936308000e+14 4.2602613222849139e-02 -2.4258454202108961e+00
1.9183291114057138e+14 4.2583684561024453e-02 -2.4258289803766018e+00
1.9184169291806275e+14 4.2564729209586982e-02 -2.4258126110979070e+00
1.9185047469555412e+14 4.2545747297080799e-02 -2.4257963124410509e+00
1.9185925647304550e+14 4.2526738952193430e-02 -2.4257800844725277e+00
1.9186803825053691e+14 4.2507704303753016e-02 -2.4257639272591578e+00
1.9187682002802828e+14 4.2488643480726999e-02 -2.4257478408679951e+00
1.9188560180551966e+14 4.2469556612223444e-02 -2.4257318253664173e+00
1.9189438358301103e+14 4.2450443827485654e-02 -2.4257158808220840e+00
1.9190316536050241e+14 4.2431305255893864e-02 -2.4257000073028188e+00
1.9191194713799378e+14 4.2412141026964501e-02 -2.4256842048767782e+00
1.9192072891548516e+14 4.2392951270344752e-02 -2.4256684736122720e+00
1.9192951069297653e+14 4.2373736115815241e-02 -2.4256528135778925e+00
1.9193829247046791e+14 4.2354495693288856e-02 -2.4256372248423763e+00
1.9194707424795928e+14 4.2335230132807787e-02 -2.4256217074747681e+00
1.9195585602545066e+14 4.2315939564539336e-02 -2.4256062615441452e+00
1.9196463780294203e+14 4.2296624118782544e-02 -2.4255908871198693e+00
1.9197341958043341e+14 4.2277283925958267e-02 -2.4255755842714257e+00
1.9198220135792478e+14 4.2257919116615951e-02 -2.4255603530684677e+00
1.9199098313541619e+14 4.2238529821423870e-02 -2.4255451935807613e+00
1.9199976491290756e+14 4.2219116171174430e-02 -2.4255301058782863e+00
1.9200854669039894e+14 4.2199678296781847e-02 -2.4255150900310110e+00
1.9201732846789031e+14 4.2180216329274781e-02 -2.4255001461091084e+00
1.9202611024538169e+14 4.2160730399806758e-02 -2.4254852741828277e+00
1.9203489202287306e+14 4.2141220639642527e-02 -2.4254704743225153e+00
1.9204367380036444e+14 4.2121687180165027e-02 -2.4254557465985007e+00
1.9205245557785581e+14 4.2102130152870509e-02 -2.4254410910812840e+00
1.9206123735534719e+14 4.2082549689366547e-02 -2.4254265078414572e+00
1.9207001913283856e+14 4.2062945921374384e-02 -2.4254119969494430e+00
1.9207880091032994e+14 4.2043318980725372e-02 -2.4253975584759235e+00
1.9208758268782131e+14 4.2023668999359470e-02 -2.4253831924914531e+00
1.9209636446531269e+14 4.2003996109321776e-02 -2.4253688990667146e+00
1.9210514624280406e+14 4.1984300442768005e-02 -2.4253546782722082e+00
1.9211392802029547e+14 4.1964582131956245e-02 -2.4253405301785964e+00
1.9212270979778684e+14 4.1944841309247888e-02 -2.4253264548563922e+00
1.9213149157527822e+14 4.1925078107108750e-02 -2.4253124523761378e+00
1.9214027335276959e+14 4.1905292658104186e-02 -2.4252985228082884e+00
1.9214905513026097e+14 4.1885485094899540e-02 -2.4252846662232490e+00
1.9215783690775234e+14 4.1865655550259250e-02 -2.4252708826913345e+00
1.9216661868524372e+14 4.1845804157045127e-02 -2.4252571722828069e+00
1.9217540046273509e+14 4.1825931048214235e-02 -2.4252435350677830e+00
1.9218418224022647e+14 4.1806036356819003e-02 -2.4252299711162935e+00
1.9219296401771784e+14 4.1786120216003829e-02 -2.4252164804982597e+00
1.9220174579520922e+14 4.1766182759007009e-02 -2.4252030632834498e+00
1.9221052757270059e+14 4.1746224119156940e-02 -2.4251897195414842e+00
1.9221930935019197e+14 4.1726244429869830e-02 -2.4251764493418251e+00
1.9222809112768334e+14 4.1706243824652385e-02 -2.4251632527538090e+00
1.9223687290517475e+14 4.1686222437097131e-02 -2.4251501298464948e+00
1.9224565468266612e+14 4.1666180400881644e-02 -2.4251370806888395e+00
1.9225443646015750e+14 4.1646117849768891e-02 -2.4251241053495489e+00
1.9226321823764888e+14 4.1626034917602549e-02 -2.4251112038971501e+00
1.9227200001514025e+14 4.1605931738312195e-02 -2.4250983763998941e+00
1.9228078179263162e+14 4.1585808445903219e-02 -2.4250856229257809e+00
1.9228956357012300e+14 4.1565665174462856e-02 -2.4250729435426219e+00
1.9229834534761438e+14 4.1545502058153688e-02 -2.4250603383179188e+00
1.9230712712510575e+14 4.1525319231218438e-02 -2.4250478073188280e+00
1.9231590890259712e+14 4.1505116827971221e-02 -2.4250353506123790e+00
1.9232469068008850e+14 4.1484894982801709e-02 -2.4250229682651914e+00
1.9233347245757988e+14 4.1464653830173052e-02 -2.4250106603434971e+00
1.9234225423507125e+14 4.1444393504616872e-02 -2.4249984269133709e+00
1.9235103601256262e+14 4.1424114140738995e-02 -2.4249862680404308e+00
1.9235981779005403e+14 4.1403815873209605e-02 -2.4249741837899950e+00
1.9236859956754541e+14 4.1383498836767237e-02 -2.4249621742269438e+00
1.9237738134503678e+14 4.1363163166219775e-02 -2.4249502394158728e+00
1.9238616312252816e+14 4.1342808996435658e-02 -2.4249383794209214e+00
1.9239494490001953e+14 4.1322436462349149e-02 -2.4249265943058629e+00
1.9240372667751091e+14 4.1302045698956340e-02 -2.4249148841340546e+00
1.9241250845500228e+14 4.1281636841313717e-02 -2.4249032489683584e+00
